Kategori: Tüm kategoriler

Hafta,altın kaç TL: (Türkiye)
2021-12-26,97
2022-01-02,64
2022-01-09,39
2022-01-16,26
2022-01-23,29
2022-01-30,29
2022-02-06,29
2022-02-13,37
2022-02-20,66
2022-02-27,47
2022-03-06,58
2022-03-13,43
2022-03-20,33
2022-03-27,31
2022-04-03,25
2022-04-10,26
2022-04-17,26
2022-04-24,28
2022-05-01,32
2022-05-08,41
2022-05-15,43
2022-05-22,54
2022-05-29,42
2022-06-05,62
2022-06-12,47
2022-06-19,40
2022-06-26,48
2022-07-03,40
2022-07-10,38
2022-07-17,40
2022-07-24,45
2022-07-31,42
2022-08-07,37
2022-08-14,35
2022-08-21,34
2022-08-28,34
2022-09-04,30
2022-09-11,29
2022-09-18,33
2022-09-25,38
2022-10-02,36
2022-10-09,32
2022-10-16,28
2022-10-23,25
2022-10-30,26
2022-11-06,36
2022-11-13,38
2022-11-20,26
2022-11-27,32
2022-12-04,30
2022-12-11,31
2022-12-18,33
2022-12-25,34
2023-01-01,37
2023-01-08,40
2023-01-15,39
2023-01-22,35
2023-01-29,34
2023-02-05,21
2023-02-12,26
2023-02-19,30
2023-02-26,27
2023-03-05,27
2023-03-12,42
2023-03-19,40
2023-03-26,32
2023-04-02,40
2023-04-09,39
2023-04-16,38
2023-04-23,42
2023-04-30,40
2023-05-07,46
2023-05-14,43
2023-05-21,38
2023-05-28,60
2023-06-04,100
2023-06-11,63
2023-06-18,77
2023-06-25,75
2023-07-02,67
2023-07-09,59
2023-07-16,83
2023-07-23,53
2023-07-30,50
2023-08-06,48
2023-08-13,43
2023-08-20,60
2023-08-27,43
2023-09-03,39
2023-09-10,38
2023-09-17,41
2023-09-24,36
2023-10-01,37
2023-10-08,44
2023-10-15,56
2023-10-22,45
2023-10-29,58
2023-11-05,41
2023-11-12,42
2023-11-19,43
2023-11-26,45
2023-12-03,46
2023-12-10,43
2023-12-17,44
2023-12-24,43
2023-12-31,43
