Kategori: Tüm kategoriler

Hafta,fed faiz: (Türkiye)
2021-12-26,5
2022-01-02,15
2022-01-09,21
2022-01-16,17
2022-01-23,84
2022-01-30,4
2022-02-06,8
2022-02-13,12
2022-02-20,5
2022-02-27,9
2022-03-06,14
2022-03-13,100
2022-03-20,2
2022-03-27,2
2022-04-03,8
2022-04-10,9
2022-04-17,8
2022-04-24,10
2022-05-01,99
2022-05-08,6
2022-05-15,4
2022-05-22,7
2022-05-29,5
2022-06-05,8
2022-06-12,94
2022-06-19,4
2022-06-26,2
2022-07-03,10
2022-07-10,14
2022-07-17,18
2022-07-24,75
2022-07-31,2
2022-08-07,5
2022-08-14,10
2022-08-21,9
2022-08-28,6
2022-09-04,8
2022-09-11,13
2022-09-18,76
2022-09-25,3
2022-10-02,3
2022-10-09,11
2022-10-16,9
2022-10-23,9
2022-10-30,57
2022-11-06,4
2022-11-13,4
2022-11-20,6
2022-11-27,6
2022-12-04,6
2022-12-11,47
2022-12-18,2
2022-12-25,2
2023-01-01,3
2023-01-08,6
2023-01-15,5
2023-01-22,5
2023-01-29,52
2023-02-05,1
2023-02-12,3
2023-02-19,12
2023-02-26,4
2023-03-05,7
2023-03-12,11
2023-03-19,50
2023-03-26,2
2023-04-02,2
2023-04-09,6
2023-04-16,3
2023-04-23,6
2023-04-30,34
2023-05-07,2
2023-05-14,2
2023-05-21,3
2023-05-28,3
2023-06-04,6
2023-06-11,40
2023-06-18,7
2023-06-25,3
2023-07-02,4
2023-07-09,6
2023-07-16,11
2023-07-23,53
2023-07-30,2
2023-08-06,4
2023-08-13,4
2023-08-20,8
2023-08-27,3
2023-09-03,3
2023-09-10,9
2023-09-17,39
2023-09-24,2
2023-10-01,3
2023-10-08,2
2023-10-15,4
2023-10-22,6
2023-10-29,21
2023-11-05,2
2023-11-12,3
2023-11-19,4
2023-11-26,3
2023-12-03,4
2023-12-10,47
2023-12-17,3
2023-12-24,1
2023-12-31,2
