Kategori: Tüm kategoriler

Hafta,inflation in Turkey: (Dünya Genelinde)
2021-12-26,44
2022-01-02,62
2022-01-09,39
2022-01-16,44
2022-01-23,42
2022-01-30,48
2022-02-06,45
2022-02-13,34
2022-02-20,31
2022-02-27,47
2022-03-06,33
2022-03-13,34
2022-03-20,40
2022-03-27,56
2022-04-03,67
2022-04-10,64
2022-04-17,35
2022-04-24,53
2022-05-01,74
2022-05-08,69
2022-05-15,60
2022-05-22,52
2022-05-29,70
2022-06-05,93
2022-06-12,79
2022-06-19,63
2022-06-26,66
2022-07-03,100
2022-07-10,83
2022-07-17,56
2022-07-24,56
2022-07-31,66
2022-08-07,57
2022-08-14,70
2022-08-21,45
2022-08-28,63
2022-09-04,40
2022-09-11,73
2022-09-18,61
2022-09-25,61
2022-10-02,74
2022-10-09,47
2022-10-16,58
2022-10-23,62
2022-10-30,70
2022-11-06,65
2022-11-13,62
2022-11-20,48
2022-11-27,41
2022-12-04,62
2022-12-11,39
2022-12-18,45
2022-12-25,57
2023-01-01,43
2023-01-08,37
2023-01-15,33
2023-01-22,31
2023-01-29,47
2023-02-05,74
2023-02-12,50
2023-02-19,42
2023-02-26,46
2023-03-05,22
2023-03-12,32
2023-03-19,31
2023-03-26,35
2023-04-02,35
2023-04-09,49
2023-04-16,36
2023-04-23,36
2023-04-30,37
2023-05-07,50
2023-05-14,66
2023-05-21,22
2023-05-28,81
2023-06-04,52
2023-06-11,34
2023-06-18,33
2023-06-25,29
2023-07-02,34
2023-07-09,37
2023-07-16,32
2023-07-23,25
2023-07-30,31
2023-08-06,29
2023-08-13,28
2023-08-20,33
2023-08-27,29
2023-09-03,26
2023-09-10,32
2023-09-17,41
2023-09-24,27
2023-10-01,32
2023-10-08,27
2023-10-15,26
2023-10-22,22
2023-10-29,26
2023-11-05,30
2023-11-12,35
2023-11-19,57
2023-11-26,46
2023-12-03,34
2023-12-10,35
2023-12-17,40
2023-12-24,44
2023-12-31,40
