datetime,production,sarima,lr,lr + arima,arima_hourly
1.02.2024 00:00,0,0,0,0,0.402280813
1.02.2024 01:00,0,0,0,0,0.549963308
1.02.2024 02:00,0,0,0,0,0.69116319
1.02.2024 03:00,0,0,0,0,0.791851592
1.02.2024 04:00,0,0,0,0,0.888389385
1.02.2024 05:00,0,0,0,0,0.969364396
1.02.2024 06:00,0.01,-6.71E-08,1.113497705,0.892307047,1.035519356
1.02.2024 07:00,1.59,0.466261304,2.22988156,1.703980973,1.098264112
1.02.2024 08:00,6.17,2.710490772,3.668836824,3.954663218,2.822954407
1.02.2024 09:00,7.11,4.697027922,5.801401846,5.380339768,7.466347408
1.02.2024 10:00,5.2,6.063777582,6.671194904,5.791075623,7.646595271
1.02.2024 11:00,3.53,6.255582109,6.92769809,8.10773936,5.14969434
1.02.2024 12:00,4.92,6.554060183,7.080393999,7.910389738,3.410959396
1.02.2024 13:00,4.9,5.384531284,6.928978334,6.928978334,4.873560613
1.02.2024 14:00,5.78,2.412596694,6.120699796,5.5216618,4.667292903
1.02.2024 15:00,4.78,1.120336954,4.617528266,3.741464627,5.475076226
1.02.2024 16:00,0.53,0.217466972,2.888699403,2.292831281,4.134281111
1.02.2024 17:00,0,-1.29E-09,1.320396109,1.255670725,-0.375639616
1.02.2024 18:00,0,-8.99E-10,0.221775706,0.164651034,-0.285628928
1.02.2024 19:00,0,-6.27E-10,1.319603231,1.182194205,-0.070423457
1.02.2024 20:00,0,-4.38E-10,0,0,0.066940324
1.02.2024 21:00,0,0,0,0,0.191573694
1.02.2024 22:00,0,0,0,0,0.303854627
1.02.2024 23:00,0,0,0,0,0.341865426
2.02.2024 00:00,0,0,0,0,0.49160314
2.02.2024 01:00,0,0,0,0,0.537084753
2.02.2024 02:00,0,0,0,0,0.608554049
2.02.2024 03:00,0,0,0,0,0.686917397
2.02.2024 04:00,0,0,0,0,0.730941949
2.02.2024 05:00,0,0,0,0,0.765093095
2.02.2024 06:00,0.01,0.003987645,1.61108153,1.418363956,0.790010463
2.02.2024 07:00,1.62,0.549274661,2.851365305,2.219120993,0.817189022
2.02.2024 08:00,6.15,3.798154717,4.85178435,4.947113864,2.543828633
2.02.2024 09:00,9.03,6.123714518,7.50933741,6.750634061,7.104024427
2.02.2024 10:00,9.85,7.321042245,8.497058733,7.92657224,9.293181157
2.02.2024 11:00,9.88,7.345361773,8.660892007,9.111396252,9.410092775
2.02.2024 12:00,9.85,7.338100824,8.660602818,7.97047186,8.910969946
2.02.2024 13:00,9.85,7.03297195,8.111916525,8.111916525,8.518745806
2.02.2024 14:00,8.85,3.887665221,6.782559403,6.287353705,8.164054535
2.02.2024 15:00,5.64,1.825820177,5.005548036,4.313639152,6.793188124
2.02.2024 16:00,1.53,0.411900377,3.164731067,2.514553995,3.294933789
2.02.2024 17:00,0,6.14688725795688e-09,1.569541871,1.507067816,-0.70472775
2.02.2024 18:00,0,4.29261261212241e-09,0.225773403,0.161508846,-1.612794292
2.02.2024 19:00,0,2.9976998683214704e-09,1.640065325,1.477242754,-1.134692687
2.02.2024 20:00,0,2.0934114735255503e-09,0,0,-0.86209028
2.02.2024 21:00,0,0,0,0,-0.606893205
2.02.2024 22:00,0,0,0,0,-0.369678673
